id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
487,Write and debug code,Backend Developer,Medium,Technical,Low,Moderate,Half-day,Monthly,Beginner,"Git, Agile, Node.js, React, SQL","Postman, MySQL, Slack",Cloud Computing,"As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Git, Agile, Node.js, React, SQL and work with tools like Postman, MySQL, Slack. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as git agile node', 'js react sql and work with tools like postman mysql slack', 'this role often involves technologies like cloud computing']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,1
488,Write and debug code,Backend Developer,Low,Technical,Moderate,,Full-day,Weekly,Beginner,"Agile, Docker","VS Code, AWS, Slack",Cloud Computing,"As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Agile, Docker and work with tools like VS Code, AWS, Slack. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as agile docker and work with tools like vs code aws slack', 'this role often involves technologies like cloud computing']","['problem-solving, technical skills', 'teamwork, technical skills', 'other']",False,1
489,Test applications end-to-end,UI/UX Designer,High,Managerial,Low,Moderate,Half-day,Daily,Intermediate,"Python, JavaScript, TensorFlow, Node.js",Jira,"Big Data, Cloud Computing","As a UI/UX Designer, your responsibilities include Test applications end-to-end. You'll utilize skills such as Python, JavaScript, TensorFlow, Node.js and work with tools like Jira. This role often involves technologies like Big Data, Cloud Computing.",Medium Risk,"['as a uiux designer your responsibilities include test applications endtoend', 'youll utilize skills such as python javascript tensorflow node', 'js and work with tools like jira', 'this role often involves technologies like big data cloud computing']","['technical skills', 'other', 'teamwork', 'other']",True,1
490,Design APIs,Software Engineer,Medium,Managerial,High,,1-3 hours,Occasionally,Advanced,"React, Git, SQL, Agile, TensorFlow",Jira,Web Development,"As a Software Engineer, your responsibilities include Design APIs. You'll utilize skills such as React, Git, SQL, Agile, TensorFlow and work with tools like Jira. This role often involves technologies like Web Development.",Medium Risk,"['as a software engineer your responsibilities include design apis', 'youll utilize skills such as react git sql agile tensorflow and work with tools like jira', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",True,1
491,Train and fine-tune models,Full Stack Developer,Low,Technical,High,High,1-3 hours,Weekly,Intermediate,"JavaScript, Git, TensorFlow, Agile, Python",VS Code,AI,"As a Full Stack Developer, your responsibilities include Train and fine-tune models. You'll utilize skills such as JavaScript, Git, TensorFlow, Agile, Python and work with tools like VS Code. This role often involves technologies like AI.",Medium Risk,"['as a full stack developer your responsibilities include train and finetune models', 'youll utilize skills such as javascript git tensorflow agile python and work with tools like vs code', 'this role often involves technologies like ai']","['technical skills', 'teamwork, technical skills', 'other']",False,1
492,Conduct user research,Full Stack Developer,Medium,Managerial,High,Low,Half-day,Weekly,Advanced,"SQL, JavaScript, Agile, React, Docker","MongoDB, Slack","Web Development, DevOps, Cloud Computing","As a Full Stack Developer, your responsibilities include Conduct user research. You'll utilize skills such as SQL, JavaScript, Agile, React, Docker and work with tools like MongoDB, Slack. This role often involves technologies like Web Development, DevOps, Cloud Computing.",Medium Risk,"['as a full stack developer your responsibilities include conduct user research', 'youll utilize skills such as sql javascript agile react docker and work with tools like mongodb slack', 'this role often involves technologies like web development devops cloud computing']","['technical skills', 'teamwork', 'technical skills']",False,1
493,Develop user interfaces,Machine Learning Engineer,Medium,Creative,Moderate,Moderate,<1 hour,Monthly,Beginner,"Docker, Git",Slack,"AI, Big Data","As a Machine Learning Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Docker, Git and work with tools like Slack. This role often involves technologies like AI, Big Data.",Medium Risk,"['as a machine learning engineer your responsibilities include develop user interfaces', 'youll utilize skills such as docker git and work with tools like slack', 'this role often involves technologies like ai big data']","['technical skills', 'teamwork', 'other']",False,1
494,Design APIs,Data Scientist,Medium,Managerial,Low,High,Full-day,Monthly,Advanced,"Python, Git",MongoDB,"Web Development, DevOps","As a Data Scientist, your responsibilities include Design APIs. You'll utilize skills such as Python, Git and work with tools like MongoDB. This role often involves technologies like Web Development, DevOps.",Medium Risk,"['as a data scientist your responsibilities include design apis', 'youll utilize skills such as python git and work with tools like mongodb', 'this role often involves technologies like web development devops']","['technical skills', 'teamwork', 'technical skills']",True,1
495,Develop user interfaces,UI/UX Designer,Low,Managerial,Moderate,,Half-day,Monthly,Advanced,"Git, Agile","AWS, Postman",AI,"As a UI/UX Designer, your responsibilities include Develop user interfaces. You'll utilize skills such as Git, Agile and work with tools like AWS, Postman. This role often involves technologies like AI.",Low Risk,"['as a uiux designer your responsibilities include develop user interfaces', 'youll utilize skills such as git agile and work with tools like aws postman', 'this role often involves technologies like ai']","['technical skills', 'teamwork', 'other']",True,0
496,Automate infrastructure,Backend Developer,Medium,Technical,Low,High,Half-day,Monthly,Beginner,"React, Node.js","Tableau, Jira","DevOps, Cloud Computing","As a Backend Developer, your responsibilities include Automate infrastructure. You'll utilize skills such as React, Node.js and work with tools like Tableau, Jira. This role often involves technologies like DevOps, Cloud Computing.",Medium Risk,"['as a backend developer your responsibilities include automate infrastructure', 'youll utilize skills such as react node', 'js and work with tools like tableau jira', 'this role often involves technologies like devops cloud computing']","['technical skills', 'other', 'teamwork', 'other']",False,1
497,Perform code reviews,Full Stack Developer,Low,Technical,High,High,Full-day,Weekly,Beginner,"JavaScript, Git, TensorFlow","MySQL, Slack, Postman","Big Data, Cloud Computing","As a Full Stack Developer, your responsibilities include Perform code reviews. You'll utilize skills such as JavaScript, Git, TensorFlow and work with tools like MySQL, Slack, Postman. This role often involves technologies like Big Data, Cloud Computing.",Medium Risk,"['as a full stack developer your responsibilities include perform code reviews', 'youll utilize skills such as javascript git tensorflow and work with tools like mysql slack postman', 'this role often involves technologies like big data cloud computing']","['technical skills', 'teamwork', 'other']",False,1
498,Analyze and clean data,Product Manager,Medium,Technical,High,,Half-day,Monthly,Intermediate,"Python, Git, SQL, JavaScript, Agile","MongoDB, MySQL, VS Code",AI,"As a Product Manager, your responsibilities include Analyze and clean data. You'll utilize skills such as Python, Git, SQL, JavaScript, Agile and work with tools like MongoDB, MySQL, VS Code. This role often involves technologies like AI.",Medium Risk,"['as a product manager your responsibilities include analyze and clean data', 'youll utilize skills such as python git sql javascript agile and work with tools like mongodb mysql vs code', 'this role often involves technologies like ai']","['problem-solving', 'teamwork, technical skills', 'other']",False,1
